id,code,label
1,1,С правонарушениями в области дорожного движения
2,2,С правонарушениями в области охраны собственности
3,3,С правонарушениями в области охраны окружающей среды
4,4,С правонарушениями в области промышленности и строительства
5,5,С правонарушениями в области связи и информации
6,6,С правонарушениями в области предпринимательской деятельности
7,7,С правонарушениями в области финансов и налогов
8,8,С правонарушениями, посягающими на институты государственной власти
9,9,С правонарушениями в области общественного порядка
10,10,Иные правонарушения