id,index,name
1,1,Уголовные дела
2,2,Гражданские дела
3,2а,Административные дела
4,3,Материалы судебного контроля за законностью действий органов предварительного следствия и дознания
5,4,Материалы по рассмотрению представлений и ходатайств в порядке исполнения приговоров
6,5,Дела об административных правонарушениях
7,6,Материалы по применению принудительных мер медицинского характера
8,7,Материалы о направлении несовершеннолетних в специальные учебно-воспитательные учреждения
9,8,Производства о наложении денежных взысканий и штрафов, об обращении залога в доход государства
10,9,Материалы, по которым отказано в принятии заявлений и вынесен судебный акт о возврате
11,9а,Материалы административного дела, по которому вынесено определение об отказе в принятии заявлений или о возврате заявлений
12,9у,Материалы дел (заявлений) частного обвинения, по которым вынесено постановление об отказе в принятии материала дел (заявлений) или о возвращении материала дела (заявления)
13,10,Уголовные дела в суде апелляционной инстанции
14,11,Гражданские дела в суде апелляционной инстанции
15,12,Дела по жалобам на постановления по делам об административных правонарушениях
16,13,Материалы в порядке исполнения решений
17,13а,Материалы, разрешаемые в порядке исполнения решений в административном судопроизводстве
18,14,Материалы о проведении оперативно-розыскных мероприятий
19,15,Иные материалы
20,3/1,Об избрании меры пресечения в виде содержания под стражей
21,3/2,О продлении срока содержания под стражей
22,3/3,Об избрании меры пресечения в виде домашнего ареста
23,3/4,О продлении срока домашнего ареста
24,3/5,О помещении подозреваемых или обвиняемых в медицинскую организацию для производства экспертизы
25,3/6,О производстве осмотра жилища, обыска и выемки в жилище
26,3/7,О производстве выемки предметов и документов, содержащих охраняемую законом тайну
27,3/8,О наложении ареста на корреспонденцию
28,3/9,О получении информации о соединениях между абонентами
29,3/10,О контроле и записи телефонных и иных переговоров
30,3/11,О временном отстранении обвиняемого от должности
31,3/12,Жалобы на действия (бездействие) и решения дознавателя, следователя и прокурора
32,3/13,Об отмене (изменении) меры пресечения, избранной по судебному решению
33,3/14,Об избрании меры пресечения в виде залога, изменение территориальной подсудности
34,3/15,О реализации, утилизации или уничтожении вещественных доказательств
35,3/16,О временном помещении несовершеннолетнего в ЦВСНП
36,3/17,Иные ходатайства в порядке досудебного производства
37,4/1,Об условно-досрочном освобождении / отмена условно-досрочного освобождения
38,4/2,Освобождение от наказания в связи с психическим расстройством
39,4/3,Освобождение от наказания в связи с иной тяжелой болезнью
40,4/4,Применение акта амнистии
41,4/5,Замена неотбытой части наказания более мягким видом наказания
42,4/6,Отсрочка отбывания наказания
43,4/7,Отмена условного осуждения с освобождением от наказания
44,4/8,Отмена условного осуждения с заменой наказания
45,4/9,Отсрочка, рассрочка уплаты штрафа
46,4/10,Замена штрафа другим видом наказания
47,4/11,Лишение специального права
48,4/12,Освобождение от наказания в связи с применением нового уголовного закона
49,4/13,Снижение наказания в связи с применением нового уголовного закона
50,4/14,О возложении обязанностей
51,4/15,Изменение вида исправительного учреждения
52,4/16,Замена одного вида наказания на другой
53,4/17,Иные материалы в порядке исполнения приговоров
54,8/1,О наложении денежных взысканий и штрафов в процессуальном порядке
55,8/2,Об обращении залога в доход государства