code,name,is_active,order
clarify_decision,О разъяснении решения,1,10
indexation,Об индексации присужденных денежных сумм,1,20
correct_error,Об исправлении описок и явных арифметических ошибок,1,30
restore_term,О восстановлении процессуальных сроков,1,40
declare_enforcement,О выдаче исполнительного листа,1,50
enforcement_termination,О прекращении исполнительного производства,1,60
enforcement_suspension,О приостановлении исполнительного производства,1,70
enforcement_resumption,О возобновлении исполнительного производства,1,80
order_securing_claim,О принятии мер по обеспечению иска,1,90
cancel_securing_claim,Об отмене мер по обеспечению иска,1,100
other,Иные материалы,1,999